NAME    DB      $78,$78,$78,$78,$78,$78,$78,$78,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $78,$78,$7D,$80,$7D,$80,$78,$78,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $79,$79,$79,$81,$87,$8C,$92,$79,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7A,$7B,$7B,$82,$88,$8D,$93,$99,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7A,$7A,$7A,$83,$89,$8E,$94,$9A,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7A,$7A,$7A,$84,$8A,$8F,$7A,$9B,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7A,$7A,$7B,$7B,$7B,$90,$95,$7A,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7B,$7B,$7B,$7A,$7B,$91,$96,$7A,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7A,$7A,$7A,$7A,$7B,$7B,$97,$9C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7B,$7B,$7B,$7B,$7E,$85,$98,$98,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7B,$7B,$7E,$85,$7F,$86,$8B,$8B,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7B,$7B,$7F,$86,$8B,$8B,$86,$8B,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C
        DB      $7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$7C,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
        DB      $00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00,$00
